paper,subject,trial_number,trial_looking_time,age_in_days
brandone_2009,brandone_2009.1.1_successfulreaching8.906,2,10.1,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.906,3,9.3,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.906,4,5.7,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.906,5,6.5,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.906,6,6.1,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.906,7,6.5,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.906,8,6.3,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,1,11.5,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,2,2.4,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,3,6.6,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,4,4.2,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,5,3.6,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,6,4.8,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,7,4.9,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,8,17.8,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.914,9,10.8,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.910,1,10.7,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.910,2,9,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.910,3,9.2,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.910,4,6.6,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.910,5,10.4,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.910,6,12,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.910,7,8.2,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.910,8,4,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.910,9,4.1,229.3
brandone_2009,brandone_2009.1.1_successfulreaching8.920,1,12.4,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.920,2,9.6,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.920,3,7.6,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.920,4,10.8,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.920,5,4.7,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.920,6,11.1,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.920,7,8.5,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.920,8,8.1,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.920,9,4.8,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.905,1,11.6,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.905,2,9.9,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.905,3,4.4,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.905,4,4,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.905,5,2.5,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.926,1,20.1,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.926,2,11.5,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.926,3,5.9,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.926,4,6.9,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.904,1,10.4,238.4
brandone_2009,brandone_2009.1.1_successfulreaching8.904,2,9.6,238.4
brandone_2009,brandone_2009.1.1_successfulreaching8.904,3,13.8,238.4
brandone_2009,brandone_2009.1.1_successfulreaching8.904,4,9,238.4
brandone_2009,brandone_2009.1.1_successfulreaching8.904,5,17.6,238.4
brandone_2009,brandone_2009.1.1_successfulreaching8.904,6,14.8,238.4
brandone_2009,brandone_2009.1.1_successfulreaching8.904,7,9,238.4
brandone_2009,brandone_2009.1.1_successfulreaching8.904,8,2.2,238.4
brandone_2009,brandone_2009.1.1_successfulreaching8.924,1,20.4,241.5
brandone_2009,brandone_2009.1.1_successfulreaching8.924,2,16.6,241.5
brandone_2009,brandone_2009.1.1_successfulreaching8.924,3,9.7,241.5
brandone_2009,brandone_2009.1.1_successfulreaching8.924,4,5.6,241.5
brandone_2009,brandone_2009.1.1_successfulreaching8.907,1,2.5,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.907,2,10.7,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.907,3,6.9,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.907,4,8.9,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.907,5,18.5,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.907,6,13.8,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.907,7,10.4,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.907,8,22,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.907,9,12.6,233.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,1,14.8,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,2,5.4,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,3,11.7,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,4,4.4,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,5,4,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,6,10.6,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,7,25.3,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,8,8.4,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.919,9,21.9,232.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,1,13,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,2,13.9,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,3,9,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,4,20.4,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,5,20,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,6,5.6,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,7,17,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,8,13.9,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.909,9,2.2,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.912,1,11.9,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.912,2,11.3,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.912,3,9,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.912,4,6.8,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.912,5,6.9,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.912,6,19,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.912,7,19.2,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.912,8,19.4,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.912,9,14.2,231.3
brandone_2009,brandone_2009.1.1_successfulreaching8.922,1,13.1,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.922,2,11.5,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.922,3,18.2,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.922,4,14.5,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.922,5,13,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.922,6,7.8,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.922,7,12.9,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.922,8,15.6,251.6
brandone_2009,brandone_2009.1.1_successfulreaching8.922,9,11,251.6
