subject,bing_id,child_age_group,age_in_months,block_number,trial_number,block_type,trial_type,block_background,block_deviant,deviant_position,stimulus_displayed,trial_looking_time,task_type,task_question_type,task_question_response,participant_type,deviant_trial_number
SS1657836642582,bb659,4,52.56,1,6,complex_dissimilar,deviant,images/stimuli/complex_01_A_b.gif,images/stimuli/complex_17_A_b.gif,6,images/stimuli/complex_17_A_b.gif,5544.9000000059605,NA,NA,NA,kids,6
SS1658159461179,bb769,3,48,1,6,complex_dissimilar,deviant,images/stimuli/complex_15_A_a.gif,images/stimuli/complex_05_A_b.gif,6,images/stimuli/complex_05_A_b.gif,657.8000000119209,NA,NA,NA,kids,6
SS1658165045650,bb531,4,58.92,1,6,complex_dissimilar,deviant,images/stimuli/complex_15_A_a.gif,images/stimuli/complex_08_A_a.gif,6,images/stimuli/complex_08_A_a.gif,550,NA,NA,NA,kids,6
SS1658332695075,bb471,5,68.88,1,4,complex_dissimilar,deviant,images/stimuli/complex_21_A_b.gif,images/stimuli/complex_20_A_a.gif,4,images/stimuli/complex_20_A_a.gif,17885.399999976158,NA,NA,NA,kids,4
SS1658349449009,bb861,4,51,1,6,complex_dissimilar,deviant,images/stimuli/complex_19_A_b.gif,images/stimuli/complex_11_A_a.gif,6,images/stimuli/complex_11_A_a.gif,2403.199999988079,NA,NA,NA,kids,6
SS1658350299976,bb668,5,63.84,1,4,complex_dissimilar,deviant,images/stimuli/complex_18_A_b.gif,images/stimuli/complex_09_A_b.gif,4,images/stimuli/complex_09_A_b.gif,991.1999999880792,NA,NA,NA,kids,4
SS1659037444440,bb874,3,38.04,1,6,complex_dissimilar,deviant,images/stimuli/complex_09_A_b.gif,images/stimuli/complex_06_A_a.gif,6,images/stimuli/complex_06_A_a.gif,9795.100000023842,NA,NA,NA,kids,6
SS1659041262118,bb873,3,39.12,1,6,complex_dissimilar,deviant,images/stimuli/complex_12_A_a.gif,images/stimuli/complex_03_A_b.gif,6,images/stimuli/complex_03_A_b.gif,721,NA,NA,NA,kids,6
SS1659042744198,bb527,5,62.28,1,6,complex_dissimilar,deviant,images/stimuli/complex_17_A_b.gif,images/stimuli/complex_09_A_a.gif,6,images/stimuli/complex_09_A_a.gif,3834,NA,NA,NA,kids,6
SS1659454156371,bb818,3,47.64,1,4,complex_dissimilar,deviant,images/stimuli/complex_11_A_a.gif,images/stimuli/complex_01_A_b.gif,4,images/stimuli/complex_01_A_b.gif,11439.099999904633,NA,NA,NA,kids,4
SS1659456204392,bb631,5,66.84,1,6,complex_dissimilar,deviant,images/stimuli/complex_18_A_a.gif,images/stimuli/complex_15_A_a.gif,6,images/stimuli/complex_15_A_a.gif,7579.700000047684,NA,NA,NA,kids,6
SS1659634413113,bb676,3,47.400000000000006,1,6,complex_dissimilar,deviant,images/stimuli/complex_12_A_a.gif,images/stimuli/complex_21_A_b.gif,6,images/stimuli/complex_21_A_b.gif,8795.799999952316,NA,NA,NA,kids,6
