subject,bing_id,child_age_group,age_in_months,block_number,trial_number,block_type,trial_type,block_background,block_deviant,deviant_position,stimulus_displayed,trial_looking_time,task_type,task_question_type,task_question_response,participant_type,deviant_trial_number
SS1649106438604,bb580,5,63.96,1,1,complex_dissimilar,background,images/stimuli/complex_22_A_b.gif,images/stimuli/complex_16_A_b.gif,4,images/stimuli/complex_22_A_b.gif,6015.300000071526,NA,NA,NA,kids,4
SS1649106438604,bb580,5,63.96,1,2,complex_dissimilar,background,images/stimuli/complex_22_A_b.gif,images/stimuli/complex_16_A_b.gif,4,images/stimuli/complex_22_A_b.gif,1618.3000000715256,NA,NA,NA,kids,4
SS1649106438604,bb580,5,63.96,1,3,complex_dissimilar,background,images/stimuli/complex_22_A_b.gif,images/stimuli/complex_16_A_b.gif,4,images/stimuli/complex_22_A_b.gif,1315.5,NA,NA,NA,kids,4
SS1649107163440,bb533,5,63.599999999999994,1,1,complex_dissimilar,background,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_20_A_a.gif,11355.799999952316,NA,NA,NA,kids,4
SS1649107163440,bb533,5,63.599999999999994,1,2,complex_dissimilar,background,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_20_A_a.gif,1459.1999999284744,NA,NA,NA,kids,4
SS1649107163440,bb533,5,63.599999999999994,1,3,complex_dissimilar,background,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_06_A_b.gif,4,images/stimuli/complex_20_A_a.gif,857.8999999761581,NA,NA,NA,kids,4
SS1649108043408,bb559,4,59.760000000000005,1,1,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,3182.600000023842,NA,NA,NA,kids,6
SS1649108043408,bb559,4,59.760000000000005,1,2,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,3466.100000023842,NA,NA,NA,kids,6
SS1649108043408,bb559,4,59.760000000000005,1,3,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,2446.600000023842,NA,NA,NA,kids,6
SS1649108043408,bb559,4,59.760000000000005,1,4,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,2529.400000095367,NA,NA,NA,kids,6
SS1649108043408,bb559,4,59.760000000000005,1,5,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,2042,NA,NA,NA,kids,6
SS1649278493365,bb799,3,45.36,1,1,complex_dissimilar,background,images/stimuli/complex_22_A_a.gif,images/stimuli/complex_15_A_a.gif,4,images/stimuli/complex_22_A_a.gif,5002.799999952316,NA,NA,NA,kids,4
