subject,trial_number,trial_type,trial_looking_time,agedays,complexity
gerson_2014b.2.2.43,7,deviant,1.2,94.4,complex
gerson_2014b.2.2.137,7,deviant,6.07,95.3,complex
gerson_2014b.2.2.134,7,deviant,32.35,102.6,complex
gerson_2014b.2.2.160,7,deviant,3.05,116.6,complex
gerson_2014b.2.2.141,7,deviant,6.02,109.6,complex
gerson_2014b.2.2.120,7,deviant,13.51,119.6,complex
gerson_2014b.2.2.104,7,deviant,2.39,108.7,complex
gerson_2014b.2.2.68,7,deviant,7.4,107.5,complex
gerson_2014b.2.2.18,7,deviant,7.64,121.8,complex
gerson_2014b.2.2.163,7,deviant,7.07,111.7,complex
gerson_2014b.2.2.87,7,deviant,15.38,125.7,complex
hespos_2009.1.1_habtosolid.41,7,deviant,40.5,162.2,simple
hespos_2009.1.1_habtosolid.22,7,deviant,55.4,161.2,simple
hespos_2009.1.1_habtosolid.39,7,deviant,15.1,165.2,simple
hespos_2009.1.1_habtosolid.46,7,deviant,25.2,154.2,simple
hespos_2009.1.1_habtosolid.10,7,deviant,60,140.8,simple
hespos_2009.1.1_habtosolid.15,7,deviant,8.1,168.2,simple
hespos_2009.1.1_habtosolid.42,7,deviant,60,147.8,simple
hespos_2009.1.1_habtosolid.44,7,deviant,7.6,141.8,simple
hespos_2009.1.1_habtosolid.29,7,deviant,15.5,158.2,simple
hespos_2009.1.1_habtosolid.36,7,deviant,19.7,164.2,simple
hespos_2009.1.1_habtosolid.43,7,deviant,14.4,144.8,simple
hespos_2009.1.1_habtosolid.37,7,deviant,24.3,142.8,simple
hespos_2009.1.1_habtosolid.12,7,deviant,29.7,162.2,simple
hespos_2009.1.1_habtosolid.19,7,deviant,5.4,144.8,simple
hespos_2009.1.1_habtosolid.27,7,deviant,17.6,158.2,simple
hespos_2009.1.1_habtosolid.21,7,deviant,15.6,139.8,simple
hespos_2009.2.2_habtosolid.44,7,deviant,23.9,163.2,simple
hespos_2009.2.2_habtosolid.11,7,deviant,21.4,164.2,simple
hespos_2009.2.2_habtosolid.15,7,deviant,60,137.8,simple
hespos_2009.2.2_habtosolid.46,7,deviant,8.7,140.8,simple
hespos_2009.2.2_habtosolid.47,7,deviant,35.1,140.8,simple
hespos_2009.2.2_habtosolid.50,7,deviant,18.1,144.8,simple
hespos_2009.2.2_habtosolid.29,7,deviant,51,152.2,simple
hespos_2009.2.2_habtosolid.4,7,deviant,27.7,156.2,simple
hespos_2009.2.2_habtosolid.10,7,deviant,60,154.2,simple
hespos_2009.2.2_habtosolid.18,7,deviant,10.1,152.2,simple
hespos_2009.2.2_habtosolid.27,7,deviant,60,153.2,simple
hespos_2009.2.2_habtosolid.16,7,deviant,60,139.8,simple
hespos_2009.2.2_habtosolid.36,7,deviant,53.5,146.8,simple
hespos_2009.2.2_habtosolid.39,7,deviant,60,154.2,simple
liu_2017a.1.1.E1_1,10,deviant,7.15,191.8,complex
liu_2017a.1.1.E1_10,7,deviant,31.44,170.5,complex
liu_2017a.1.1.E1_11,8,deviant,36.5,183.6,complex
liu_2017a.1.1.E1_12,7,deviant,60,182.6,complex
liu_2017a.1.1.E1_13,7,deviant,8.48,189.7,complex
liu_2017a.1.1.E1_14,7,deviant,16.02,184.7,complex
liu_2017a.1.1.E1_16,7,deviant,8.71,186.7,complex
liu_2017a.1.1.E1_17,10,deviant,5.18,172.5,complex
liu_2017a.1.1.E1_18,8,deviant,10.76,190.8,complex
liu_2017a.1.1.E1_19,7,deviant,10.83,172.5,complex
liu_2017a.1.1.E1_2,10,deviant,10.54,182.6,complex
liu_2017a.1.1.E1_20,7,deviant,5.36,178.6,complex
liu_2017a.1.1.E1_3,7,deviant,5.68,185.7,complex
liu_2017a.1.1.E1_4,7,deviant,20.23,179.6,complex
liu_2017a.1.1.E1_5,8,deviant,10.28,175.5,complex
liu_2017a.1.1.E1_6,8,deviant,6.05,172.5,complex
liu_2017a.1.1.E1_7,7,deviant,10.54,169.5,complex
liu_2017a.1.1.E1_8,8,deviant,5.08,183.6,complex
liu_2017a.1.1.E1_9,7,deviant,5.19,181.6,complex
liu_2017a.2.2.E2_1,7,deviant,6.47,184.7,complex
liu_2017a.2.2.E2_11,11,deviant,4.75,179.6,complex
liu_2017a.2.2.E2_12,11,deviant,5.39,193.8,complex
liu_2017a.2.2.E2_13,7,deviant,10.95,193.8,complex
liu_2017a.2.2.E2_14,10,deviant,4.62,179.6,complex
liu_2017a.2.2.E2_15,10,deviant,6.09,178.6,complex
liu_2017a.2.2.E2_16,8,deviant,6.07,180.6,complex
liu_2017a.2.2.E2_17,7,deviant,6.09,183.6,complex
liu_2017a.2.2.E2_18,7,deviant,15.02,190.8,complex
liu_2017a.2.2.E2_19,7,deviant,24.68,180.6,complex
liu_2017a.2.2.E2_2,7,deviant,10.22,193.8,complex
liu_2017a.2.2.E2_20,11,deviant,22.14,180.6,complex
liu_2017a.2.2.E2_3,7,deviant,4.11,173.5,complex
liu_2017a.2.2.E2_4,7,deviant,10.44,174.5,complex
liu_2017a.2.2.E2_5,9,deviant,35.79,181.6,complex
liu_2017a.2.2.E2_6,7,deviant,16.63,196.9,complex
liu_2017a.2.2.E2_7,9,deviant,6.63,194.8,complex
liu_2017a.2.2.E2_8,7,deviant,22.98,193.8,complex
liu_2017a.2.2.E2_9,9,deviant,35.25,202.9,complex
liu_2017a.3.3.E3_1,9,deviant,8.22,173.5,complex
liu_2017a.3.3.E3_10,10,deviant,11.46,183.6,complex
liu_2017a.3.3.E3_11,10,deviant,19.65,170.5,complex
liu_2017a.3.3.E3_12,9,deviant,13.98,185.7,complex
liu_2017a.3.3.E3_13,7,deviant,10.34,170.5,complex
liu_2017a.3.3.E3_14,7,deviant,10.33,174.5,complex
liu_2017a.3.3.E3_15,8,deviant,7.29,182.6,complex
liu_2017a.3.3.E3_16,9,deviant,18.77,164.4,complex
liu_2017a.3.3.E3_17,7,deviant,12.41,180.6,complex
liu_2017a.3.3.E3_18,9,deviant,5.66,174.5,complex
liu_2017a.3.3.E3_19,10,deviant,11.66,176.6,complex
liu_2017a.3.3.E3_2,8,deviant,16.45,186.7,complex
liu_2017a.3.3.E3_20,11,deviant,5.63,179.6,complex
liu_2017a.3.3.E3_3,9,deviant,7.03,169.5,complex
liu_2017a.3.3.E3_4,7,deviant,6.44,181.6,complex
liu_2017a.3.3.E3_5,7,deviant,4.26,182.6,complex
liu_2017a.3.3.E3_6,10,deviant,10.85,177.6,complex
liu_2017a.3.3.E3_8,7,deviant,19.6,178.6,complex
liu_2017a.3.3.E3_9,10,deviant,8.34,179.6,complex
liu_2017b.1.1.S1_18,7,deviant,20.6,287,complex
liu_2017b.1.1.S1_16,7,deviant,60,293.1,complex
liu_2017b.1.1.S1_3,7,deviant,60,295.3,complex
liu_2017b.1.1.S1_17,7,deviant,12.44,296.2,complex
liu_2017b.1.1.S1_11,7,deviant,52.47,298.3,complex
liu_2017b.1.1.S1_8,7,deviant,3.31,298.3,complex
liu_2017b.1.1.S1_15,7,deviant,30.25,300.4,complex
liu_2017b.1.1.S1_4,7,deviant,15.26,300.4,complex
liu_2017b.1.1.S1_23,7,deviant,8.67,303.5,complex
liu_2017b.1.1.S1_13,7,deviant,7.22,309.6,complex
liu_2017b.1.1.S1_22,7,deviant,22.1,317.5,complex
liu_2017b.1.1.S1_1,7,deviant,32.8,319.6,complex
liu_2017b.1.1.S1_2,7,deviant,60,292.2,complex
liu_2017b.1.1.S1_24,7,deviant,48.48,294.4,complex
liu_2017b.1.1.S1_6,7,deviant,6.99,296.2,complex
liu_2017b.1.1.S1_10,7,deviant,20.82,301.4,complex
liu_2017b.1.1.S1_12,7,deviant,45.95,301.4,complex
liu_2017b.1.1.S1_7,7,deviant,47.76,301.4,complex
liu_2017b.1.1.S1_14,7,deviant,9.95,303.5,complex
liu_2017b.1.1.S1_21,7,deviant,8.3,306.5,complex
liu_2017b.1.1.S1_5,7,deviant,45.75,307.4,complex
liu_2017b.1.1.S1_19,7,deviant,11.4,312.6,complex
liu_2017b.1.1.S1_9,7,deviant,17.33,312.6,complex
liu_2017b.1.1.S1_20,7,deviant,18.05,320.5,complex
liu_2017b.2.2.S2_14,7,deviant,60,288.3,complex
liu_2017b.2.2.S2_18,7,deviant,16.26,295.3,complex
liu_2017b.2.2.S2_9,7,deviant,39.64,296.2,complex
liu_2017b.2.2.S2_23,7,deviant,27.88,297.4,complex
liu_2017b.2.2.S2_1,7,deviant,60,298.3,complex
liu_2017b.2.2.S2_22,7,deviant,29.16,300.4,complex
liu_2017b.2.2.S2_12,7,deviant,24.52,301.4,complex
liu_2017b.2.2.S2_17,7,deviant,39.69,301.4,complex
liu_2017b.2.2.S2_10,7,deviant,23.13,304.4,complex
liu_2017b.2.2.S2_8,7,deviant,60,304.4,complex
liu_2017b.2.2.S2_4,7,deviant,21.19,309.6,complex
liu_2017b.2.2.S2_5,7,deviant,14.14,314.4,complex
liu_2017b.2.2.S2_20,7,deviant,60,288.3,complex
liu_2017b.2.2.S2_11,7,deviant,28.93,293.1,complex
liu_2017b.2.2.S2_24,7,deviant,42.29,296.2,complex
liu_2017b.2.2.S2_16,7,deviant,7.86,297.4,complex
liu_2017b.2.2.S2_6,7,deviant,16.97,298.3,complex
liu_2017b.2.2.S2_7,7,deviant,8.55,298.3,complex
liu_2017b.2.2.S2_13,7,deviant,28.25,299.2,complex
liu_2017b.2.2.S2_2,7,deviant,27.63,299.2,complex
liu_2017b.2.2.S2_3,7,deviant,8.28,302.3,complex
liu_2017b.2.2.S2_21,7,deviant,12.74,307.4,complex
liu_2017b.2.2.S2_15,7,deviant,7.3,310.5,complex
liu_2017b.3.3.S3_2,7,deviant,48.22,300.4,complex
liu_2017b.3.3.S3_6,7,deviant,48.52,310.5,complex
liu_2017b.3.3.S3_11,7,deviant,23.33,313.5,complex
liu_2017b.3.3.S3_12,7,deviant,5.25,313.5,complex
liu_2017b.3.3.S3_13,7,deviant,17.56,314.4,complex
liu_2017b.3.3.S3_15,7,deviant,6.35,294.4,complex
liu_2017b.3.3.S3_16,7,deviant,30.81,306.5,complex
liu_2017b.3.3.S3_17,7,deviant,60,294.4,complex
liu_2017b.3.3.S3_19,7,deviant,31.21,318.7,complex
liu_2017b.3.3.S3_20,7,deviant,37.47,317.5,complex
liu_2017b.3.3.S3_22,7,deviant,8.92,319.6,complex
liu_2017b.3.3.S3_24,7,deviant,46.24,299.2,complex
liu_2017b.3.3.S3_25,7,deviant,5.71,304.4,complex
liu_2017b.3.3.S3_29,7,deviant,16.52,294.4,complex
liu_2017b.3.3.S3_30,7,deviant,28.2,302.3,complex
liu_2017b.3.3.S3_32,7,deviant,23.38,296.2,complex
liu_2017b.3.3.S3_1,7,deviant,5.47,296.2,complex
liu_2017b.3.3.S3_3,7,deviant,54.97,309.6,complex
liu_2017b.3.3.S3_4,7,deviant,24.32,300.4,complex
liu_2017b.3.3.S3_5,7,deviant,7.51,309.6,complex
liu_2017b.3.3.S3_7,7,deviant,9.62,292.2,complex
liu_2017b.3.3.S3_8,7,deviant,6.83,307.4,complex
liu_2017b.3.3.S3_9,7,deviant,18.66,311.4,complex
liu_2017b.3.3.S3_10,7,deviant,16.7,297.4,complex
liu_2017b.3.3.S3_14,7,deviant,14.75,312.6,complex
liu_2017b.3.3.S3_18,7,deviant,10.29,315.7,complex
liu_2017b.3.3.S3_21,7,deviant,25.44,302.3,complex
liu_2017b.3.3.S3_23,7,deviant,27.75,302.3,complex
liu_2017b.3.3.S3_26,7,deviant,40.5,317.5,complex
liu_2017b.3.3.S3_27,7,deviant,8.52,314.4,complex
liu_2017b.3.3.S3_28,7,deviant,7.27,291.3,complex
liu_2017b.3.3.S3_31,7,deviant,25.16,292.2,complex
liu_2019.3.3_experimental.S1_1,13,deviant,7.8,122,complex
liu_2019.3.3_experimental.S1_10,13,deviant,45,91,complex
liu_2019.3.3_experimental.S1_11,13,deviant,5.3,113,complex
liu_2019.3.3_experimental.S1_12,13,deviant,14.8,95,complex
liu_2019.3.3_experimental.S1_16,13,deviant,28.1,103,complex
liu_2019.3.3_experimental.S1_19,13,deviant,17.4,104,complex
liu_2019.3.3_experimental.S1_3,12,deviant,8.3,118,complex
liu_2019.3.3_experimental.S1_4,7,deviant,6.5,111,complex
liu_2019.3.3_experimental.S1_6,13,deviant,30.6,97,complex
liu_2019.3.3_experimental.S1_7,13,deviant,10.1,122,complex
liu_2019.3.3_experimental.S1_22,7,deviant,16.5,121,complex
liu_2019.3.3_experimental.S1_28,13,deviant,5.3,106,complex
liu_2019.3.3_experimental.S1_29,13,deviant,9.4,114,complex
liu_2019.3.3_experimental.S1_30,13,deviant,3.1,102,complex
liu_2019.3.3_experimental.S1_34,13,deviant,7,94,complex
liu_2019.3.3_experimental.S1_35,13,deviant,6.5,98,complex
liu_2019.3.3_experimental.S1_36,13,deviant,26.7,96,complex
liu_2019.3.3_experimental.S1_38,9,deviant,8.2,107,complex
liu_2019.3.3_experimental.S1_39,7,deviant,6.6,115,complex
liu_2019.3.3_experimental.S1_40,12,deviant,13.7,113,complex
liu_2019.3.3_control.S1_13,13,deviant,15.7,100,complex
liu_2019.3.3_control.S1_14,13,deviant,8.66,101,complex
liu_2019.3.3_control.S1_15,13,deviant,5.3,121,complex
liu_2019.3.3_control.S1_17,13,deviant,11.6,112,complex
liu_2019.3.3_control.S1_18,13,deviant,5.3,122,complex
liu_2019.3.3_control.S1_2,13,deviant,17.6,112,complex
liu_2019.3.3_control.S1_20,7,deviant,16.2,104,complex
liu_2019.3.3_control.S1_5,13,deviant,10.9,114,complex
liu_2019.3.3_control.S1_8,13,deviant,5.6,112,complex
liu_2019.3.3_control.S1_9,13,deviant,4.1,105,complex
liu_2019.3.3_control.S1_21,8,deviant,5.5,93,complex
liu_2019.3.3_control.S1_23,13,deviant,45,91,complex
liu_2019.3.3_control.S1_24,13,deviant,4.5,113,complex
liu_2019.3.3_control.S1_25,13,deviant,10,93,complex
liu_2019.3.3_control.S1_26,7,deviant,5.6,121,complex
liu_2019.3.3_control.S1_27,7,deviant,9.7,122,complex
liu_2019.3.3_control.S1_31,13,deviant,3.8,118,complex
liu_2019.3.3_control.S1_32,13,deviant,3.2,101,complex
liu_2019.3.3_control.S1_33,13,deviant,1.23,115,complex
liu_2019.3.3_control.S1_37,10,deviant,5.1,95,complex
liu_2019.4.4.S2_1,7,deviant,7.2,109,complex
liu_2019.4.4.S2_10,13,deviant,5.4,112,complex
liu_2019.4.4.S2_2,7,deviant,39.1,104,complex
liu_2019.4.4.S2_3,13,deviant,31.6,99,complex
liu_2019.4.4.S2_4,7,deviant,31.7,104,complex
liu_2019.4.4.S2_5,13,deviant,8.5,93,complex
liu_2019.4.4.S2_6,13,deviant,13.8,107,complex
liu_2019.4.4.S2_7,13,deviant,9.5,121,complex
liu_2019.4.4.S2_8,13,deviant,8.5,102,complex
liu_2019.4.4.S2_9,13,deviant,11.2,107,complex
liu_2019.4.4.S2_11,7,deviant,19,107,complex
liu_2019.4.4.S2_12,13,deviant,12.7,118,complex
liu_2019.4.4.S2_13,10,deviant,16.5,120,complex
liu_2019.4.4.S2_14,13,deviant,15.7,114,complex
liu_2019.4.4.S2_15,12,deviant,42.4,97,complex
liu_2019.4.4.S2_16,7,deviant,41.6,98,complex
liu_2019.4.4.S2_17,13,deviant,6.7,107,complex
liu_2019.4.4.S2_18,13,deviant,28.5,121,complex
liu_2019.4.4.S2_19,13,deviant,19.4,95,complex
liu_2019.4.4.S2_20,9,deviant,12.8,99,complex
liu_2019.5.5_noncausal.S3_1,8,deviant,33.125,95,complex
liu_2019.5.5_noncausal.S3_10,9,deviant,4.026,112,complex
liu_2019.5.5_noncausal.S3_12,7,deviant,11.946,120,complex
liu_2019.5.5_noncausal.S3_16,13,deviant,20.46,99,complex
liu_2019.5.5_noncausal.S3_17,13,deviant,5.94,113,complex
liu_2019.5.5_noncausal.S3_18,13,deviant,3.234,119,complex
liu_2019.5.5_noncausal.S3_19,10,deviant,12.705,93,complex
liu_2019.5.5_noncausal.S3_23,11,deviant,45,112,complex
liu_2019.5.5_noncausal.S3_25,10,deviant,10.626,106,complex
liu_2019.5.5_noncausal.S3_5,7,deviant,22.308,99,complex
liu_2019.5.5_noncausal.S3_6,8,deviant,14.817,97,complex
liu_2019.5.5_noncausal.S3_8,8,deviant,18.876,119,complex
liu_2019.5.5_noncausal.S3_9,8,deviant,17.357,114,complex
liu_2019.5.5_noncausal.S3_27,7,deviant,3.201,120,complex
liu_2019.5.5_noncausal.S3_28,13,deviant,2.706,120,complex
liu_2019.5.5_noncausal.S3_30,11,deviant,6.27,117,complex
liu_2019.5.5_noncausal.S3_31,9,deviant,3.102,105,complex
liu_2019.5.5_noncausal.S3_34,7,deviant,16.929,114,complex
liu_2019.5.5_noncausal.S3_35,9,deviant,13.068,105,complex
liu_2019.5.5_noncausal.S3_37,9,deviant,45,98,complex
liu_2019.5.5_noncausal.S3_38,7,deviant,4.521,118,complex
liu_2019.5.5_noncausal.S3_41,7,deviant,5.784,93,complex
liu_2019.5.5_noncausal.S3_42,8,deviant,24.123,112,complex
liu_2019.5.5_noncausal.S3_46,13,deviant,3.498,120,complex
liu_2019.5.5_noncausal.S3_47,11,deviant,6.666,120,complex
liu_2019.5.5_noncausal.S3_48,8,deviant,2.244,97,complex
liu_2019.5.5_causal.S3_11,11,deviant,21.615,112,complex
liu_2019.5.5_causal.S3_13,13,deviant,8.547,106,complex
liu_2019.5.5_causal.S3_14,13,deviant,1.815,96,complex
liu_2019.5.5_causal.S3_15,13,deviant,2.805,110,complex
liu_2019.5.5_causal.S3_2,11,deviant,8.828,99,complex
liu_2019.5.5_causal.S3_20,13,deviant,13.101,109,complex
liu_2019.5.5_causal.S3_21,7,deviant,5.016,100,complex
liu_2019.5.5_causal.S3_22,7,deviant,3.135,112,complex
liu_2019.5.5_causal.S3_24,7,deviant,4.092,102,complex
liu_2019.5.5_causal.S3_26,7,deviant,21.252,96,complex
liu_2019.5.5_causal.S3_3,7,deviant,5.082,102,complex
liu_2019.5.5_causal.S3_4,7,deviant,7.755,97,complex
liu_2019.5.5_causal.S3_7,13,deviant,3.927,113,complex
liu_2019.5.5_causal.S3_29,13,deviant,2.013,95,complex
liu_2019.5.5_causal.S3_32,7,deviant,4.851,92,complex
liu_2019.5.5_causal.S3_33,9,deviant,4.422,103,complex
liu_2019.5.5_causal.S3_36,13,deviant,2.541,104,complex
liu_2019.5.5_causal.S3_39,13,deviant,8.844,107,complex
liu_2019.5.5_causal.S3_40,13,deviant,4.554,112,complex
liu_2019.5.5_causal.S3_43,12,deviant,29.271,109,complex
liu_2019.5.5_causal.S3_44,7,deviant,11.517,121,complex
liu_2019.5.5_causal.S3_45,13,deviant,9.663,92,complex
liu_2019.5.5_causal.S3_49,7,deviant,12.407,98,complex
liu_2019.5.5_causal.S3_50,7,deviant,17.622,119,complex
liu_2019.5.5_causal.S3_51,11,deviant,9.471,120,complex
liu_2019.5.5_causal.S3_52,10,deviant,2.838,109,complex
liu_2019.1.1.S4_1,7,deviant,45,103,complex
liu_2019.1.1.S4_10,10,deviant,35.78,102,complex
liu_2019.1.1.S4_2,7,deviant,37.07,113,complex
liu_2019.1.1.S4_3,13,deviant,45,101,complex
liu_2019.1.1.S4_4,12,deviant,23.73,107,complex
liu_2019.1.1.S4_5,7,deviant,15.55,100,complex
liu_2019.1.1.S4_6,10,deviant,9.28,113,complex
liu_2019.1.1.S4_7,13,deviant,12.79,122,complex
liu_2019.1.1.S4_8,13,deviant,10.82,102,complex
liu_2019.1.1.S4_9,7,deviant,40.38,105,complex
liu_2019.1.1.S4_11,10,deviant,7.96,92,complex
liu_2019.1.1.S4_12,9,deviant,8.84,110,complex
liu_2019.1.1.S4_13,9,deviant,23.25,118,complex
liu_2019.1.1.S4_14,8,deviant,45,114,complex
liu_2019.1.1.S4_15,12,deviant,16.71,105,complex
liu_2019.1.1.S4_16,7,deviant,32.25,111,complex
liu_2019.1.1.S4_17,11,deviant,13.94,97,complex
liu_2019.1.1.S4_18,7,deviant,7.17,110,complex
liu_2019.1.1.S4_19,7,deviant,45,117,complex
liu_2019.1.1.S4_20,13,deviant,9.65,116,complex
liu_2019.2.2.S5_1,9,deviant,21.7,100,complex
liu_2019.2.2.S5_10,11,deviant,4.16,107,complex
liu_2019.2.2.S5_2,8,deviant,6.72,93,complex
liu_2019.2.2.S5_3,7,deviant,4.98,116,complex
liu_2019.2.2.S5_4,8,deviant,8.54,98,complex
liu_2019.2.2.S5_5,9,deviant,4.72,117,complex
liu_2019.2.2.S5_6,12,deviant,4.26,104,complex
liu_2019.2.2.S5_7,12,deviant,7.99,116,complex
liu_2019.2.2.S5_8,13,deviant,4.74,118,complex
liu_2019.2.2.S5_9,7,deviant,4.16,101,complex
liu_2019.2.2.S5_11,9,deviant,6.85,120,complex
liu_2019.2.2.S5_12,8,deviant,9.34,108,complex
liu_2019.2.2.S5_13,12,deviant,7.16,109,complex
liu_2019.2.2.S5_14,9,deviant,12.41,97,complex
liu_2019.2.2.S5_15,7,deviant,4.56,104,complex
liu_2019.2.2.S5_16,7,deviant,4.27,110,complex
liu_2019.2.2.S5_17,8,deviant,19.95,113,complex
liu_2019.2.2.S5_18,7,deviant,4.83,105,complex
liu_2019.2.2.S5_19,10,deviant,9.66,116,complex
liu_2019.2.2.S5_20,7,deviant,9.13,107,complex
liu_2022.4.4_study2.01-MR,7,deviant,47.26,306.4,complex
liu_2022.4.4_study2.03-MR,7,deviant,55.15,306.4,complex
liu_2022.4.4_study2.12-MR,7,deviant,16.39,314.5,complex
liu_2022.4.4_study2.13-MR,7,deviant,15.1,306.4,complex
liu_2022.4.4_study2.15-MR,7,deviant,5.81,298.3,complex
liu_2022.4.4_study2.17-MR,7,deviant,29.44,312.5,complex
liu_2022.4.4_study2.18-MR,7,deviant,9.28,294.3,complex
liu_2022.4.4_study2.19-MR,7,deviant,60,313.5,complex
liu_2022.4.4_study2.21-MR,7,deviant,60,288.2,complex
liu_2022.4.4_study2.22-MR,7,deviant,6.66,288.2,complex
liu_2022.4.4_study2.28-MR,7,deviant,8.19,312.5,complex
liu_2022.4.4_study2.29-MR,7,deviant,9.79,298.3,complex
liu_2022.4.4_study2.30-MR,7,deviant,12.95,291.2,complex
liu_2022.4.4_study2.35-MR,7,deviant,17.92,303.4,complex
liu_2022.4.4_study2.36-MR,7,deviant,5.13,295.3,complex
liu_2022.4.4_study2.37-MR,7,deviant,4.69,306.4,complex
liu_2022.4.4_study2.38-MR,7,deviant,11.49,272.9,complex
liu_2022.4.4_study2.41-MR,7,deviant,60,302.4,complex
liu_2022.4.4_study2.42-MR,7,deviant,23.49,300.3,complex
liu_2022.4.4_study2.43-MR,7,deviant,60,299.3,complex
liu_2022.4.4_study2.53-MR,7,deviant,19.52,314.5,complex
liu_2022.4.4_study2.55-MR,7,deviant,5.17,310.5,complex
liu_2022.4.4_study2.58-MR,7,deviant,14.62,290.2,complex
liu_2022.4.4_study2.60-MR,7,deviant,3.67,318.6,complex
liu_2022.4.4_study2.61-MR,7,deviant,9.96,291.2,complex
liu_2022.4.4_study2.62-MR,7,deviant,9.66,313.5,complex
liu_2022.4.4_study2.63-MR,7,deviant,26.59,316.6,complex
liu_2022.4.4_study2.64-MR,7,deviant,26.04,314.5,complex
liu_2022.4.4_study2.65-MR,7,deviant,11.73,300.3,complex
liu_2022.4.4_study2.66-MR,7,deviant,8.36,306.4,complex
liu_2022.4.4_study1.S5_1,7,deviant,13.03,315.6,complex
liu_2022.4.4_study1.S5_2,7,deviant,41.24,315.6,complex
liu_2022.4.4_study1.S5_3,7,deviant,15.31,312.5,complex
liu_2022.4.4_study1.S5_4,7,deviant,8.58,315.6,complex
liu_2022.4.4_study1.S5_5,7,deviant,27.75,307.4,complex
liu_2022.4.4_study1.S5_6,7,deviant,9.88,320.6,complex
liu_2022.4.4_study1.S5_7,7,deviant,17.34,306.4,complex
liu_2022.4.4_study1.S5_9,7,deviant,7.58,312.5,complex
liu_2022.4.4_study1.S5_10,7,deviant,8.28,302.4,complex
liu_2022.4.4_study1.S5_11,7,deviant,9.93,323.7,complex
liu_2022.4.4_study1.S5_12,7,deviant,24.34,306.4,complex
liu_2022.4.4_study1.S5_13,7,deviant,60,298.3,complex
liu_2022.4.4_study1.S5_14,7,deviant,9.06,322.7,complex
liu_2022.4.4_study1.S5_15,7,deviant,8.76,311.5,complex
liu_2022.4.4_study1.S5_16,7,deviant,7.32,292.2,complex
liu_2022.4.4_study1.S5_17,7,deviant,37.22,305.4,complex
liu_2022.4.4_study1.S5_18,7,deviant,19.04,309.5,complex
liu_2022.4.4_study1.S5_19,7,deviant,60,299.3,complex
liu_2022.4.4_study1.S5_20,7,deviant,25.47,315.6,complex
liu_2022.4.4_study1.S5_21,7,deviant,15.89,293.2,complex
liu_2022.4.4_study1.S5_22,7,deviant,16.18,318.6,complex
liu_2022.4.4_study1.S5_23,7,deviant,24.22,293.2,complex
liu_2022.4.4_study1.S5_24,7,deviant,12.87,307.4,complex
liu_2022.4.4_study1.S5_25,7,deviant,16.84,311.5,complex
liu_2022.4.4_study1.S5_26,7,deviant,17.99,305.4,complex
liu_2022.4.4_study1.S5_27,7,deviant,18.07,313.5,complex
liu_2022.4.4_study1.S5_29,7,deviant,28.38,303.4,complex
liu_2022.4.4_study1.S5_30,7,deviant,5.42,316.6,complex
liu_2022.4.4_study1.S5_31,7,deviant,60,299.3,complex
liu_2022.4.4_study1.S5_32,7,deviant,39.41,321.7,complex
liu_2022.4.4_study3.10m_1,7,deviant,9.362,290.1,complex
liu_2022.4.4_study3.10m_5,6,deviant,46.19,317.5,complex
liu_2022.4.4_study3.10m_9,7,deviant,8.866,299.2,complex
liu_2022.4.4_study3.10m_13,7,deviant,44.888,306.2,complex
liu_2022.4.4_study3.10m_17,7,deviant,46.376,299.2,complex
liu_2022.4.4_study3.10m_21,7,deviant,9.424,325.7,complex
liu_2022.4.4_study3.10m_25,6,deviant,13.144,321.4,complex
liu_2022.4.4_study3.10m_29,7,deviant,16.244,302.3,complex
liu_2022.4.4_study3.10m_33,7,deviant,4.464,298.3,complex
liu_2022.4.4_study3.10m_37,7,deviant,38.511,311.4,complex
liu_2022.4.4_study3.10m_2,7,deviant,20.026,305.3,complex
liu_2022.4.4_study3.10m_6,7,deviant,9.92,326.6,complex
liu_2022.4.4_study3.10m_10,7,deviant,14.012,326.6,complex
liu_2022.4.4_study3.10m_14,7,deviant,8.432,324.5,complex
liu_2022.4.4_study3.10m_22,7,deviant,29.264,312.3,complex
liu_2022.4.4_study3.10m_26,7,deviant,56.156,336.7,complex
liu_2022.4.4_study3.10m_30,7,deviant,22.32,316.6,complex
liu_2022.4.4_study3.10m_34,7,deviant,57.458,298.3,complex
liu_2022.4.4_study3.10m_38,7,deviant,11.222,324.5,complex
liu_2022.4.4_study3.10m_3,7,deviant,14.632,316.6,complex
liu_2022.4.4_study3.10m_7,7,deviant,12.214,334.8,complex
liu_2022.4.4_study3.10m_11,7,deviant,21.452,306.2,complex
liu_2022.4.4_study3.10m_15,6,deviant,7.998,311.4,complex
liu_2022.4.4_study3.10m_18,7,deviant,32.302,309.3,complex
liu_2022.4.4_study3.10m_19,7,deviant,12.772,313.5,complex
liu_2022.4.4_study3.10m_23,7,deviant,43.71,312.3,complex
liu_2022.4.4_study3.10m_27,7,deviant,13.888,310.5,complex
liu_2022.4.4_study3.10m_31,7,deviant,43.462,301.4,complex
liu_2022.4.4_study3.10m_39,7,deviant,25.41,305.3,complex
liu_2022.4.4_study3.10m_4,7,deviant,16.616,305.3,complex
liu_2022.4.4_study3.10m_8,7,deviant,8.68,319.6,complex
liu_2022.4.4_study3.10m_12,6,deviant,13.888,295.3,complex
