subject,trial_number,trial_type,trial_looking_time,agedays,complexity
brandone_2009.1.1_failedreaching10.307,6,deviant,6.8,292.2,complex
brandone_2009.1.1_failedreaching10.308,11,deviant,7.5,301.4,complex
brandone_2009.1.1_failedreaching10.301,11,deviant,9.7,297.3,complex
brandone_2009.1.1_failedreaching10.324,11,deviant,19.1,289.2,complex
brandone_2009.1.1_failedreaching10.312,11,deviant,15,299.3,complex
brandone_2009.1.1_failedreaching10.313,11,deviant,14.9,311.5,complex
brandone_2009.1.1_failedreaching10.304,11,deviant,16,290.2,complex
brandone_2009.1.1_failedreaching10.317,6,deviant,3.8,314.4,complex
brandone_2009.1.1_failedreaching10.302,11,deviant,5.8,298.3,complex
brandone_2009.1.1_failedreaching10.315,11,deviant,16.1,309.5,complex
brandone_2009.1.1_failedreaching10.311,7,deviant,4,304.4,complex
brandone_2009.1.1_failedreaching10.306,8,deviant,10,296.3,complex
brandone_2009.1.1_failedreaching10.303,7,deviant,8.8,315.6,complex
brandone_2009.1.1_failedreaching12.223,11,deviant,26.2,350.1,complex
brandone_2009.1.1_failedreaching12.209,11,deviant,4.3,355.1,complex
brandone_2009.1.1_failedreaching12.232,11,deviant,7.6,355.1,complex
brandone_2009.1.1_failedreaching12.204,9,deviant,6.2,377.5,complex
brandone_2009.1.1_failedreaching12.215,11,deviant,14.9,376.4,complex
brandone_2009.1.1_failedreaching12.207,11,deviant,14.4,366.3,complex
brandone_2009.1.1_failedreaching12.221,11,deviant,8.7,357.2,complex
brandone_2009.1.1_failedreaching12.206,11,deviant,11.9,361.2,complex
brandone_2009.1.1_failedreaching12.230,11,deviant,11.1,364.3,complex
brandone_2009.1.1_failedreaching12.201,9,deviant,15.2,357.2,complex
brandone_2009.1.1_failedreaching12.202,11,deviant,9,364.3,complex
brandone_2009.1.1_failedreaching12.218,11,deviant,15.9,374.4,complex
brandone_2009.1.1_failedreaching12.213,11,deviant,11.6,356.1,complex
brandone_2009.1.1_failedreaching12.210,11,deviant,5.8,377.5,complex
brandone_2009.1.1_failedreaching12.229,11,deviant,3.9,357.2,complex
brandone_2009.1.1_failedreaching12.228,11,deviant,13.4,368.3,complex
brandone_2009.1.1_failedreaching12.227,11,deviant,10,357.2,complex
brandone_2009.1.1_failedreaching12.219,8,deviant,10.5,361.2,complex
brandone_2009.1.1_failedreaching12.203,11,deviant,6.1,364.3,complex
brandone_2009.1.1_failedreaching12.234,10,deviant,13.1,352.1,complex
brandone_2009.1.1_control10.109,11,deviant,2.43,282.2,complex
brandone_2009.1.1_control10.169,10,deviant,2.47,308.1,complex
brandone_2009.1.1_control10.123,7,deviant,2.23,304.7,complex
brandone_2009.1.1_control10.177,7,deviant,2.58,304.4,complex
