subject,dishab_trial_num,dishab_diff,agedays,complexity,sd_volatility,mad_volatility,cv_volatility,range_volatility,mad_robust_volatility,garch_volatility,decay_rate,decay_rates_random,group,age_in_months,age
brandone_2009.1.1_successfulreaching8.917,9,-1.2784053991087059,236.4,complex,13.300798848189533,8.221875,0.5603285454740193,45.1,3.75,NA,-0.1052872555268209,-0.09483725004315081,infants,NA,NA
brandone_2009.1.1_successfulreaching10.51,7,0.18369235892773328,282.8,complex,4.785260703451799,3.3266666666666667,0.5456397609409122,14.490000000000002,1.6149999999999998,NA,-0.3335194185988496,-0.08619809834392975,infants,NA,NA
brandone_2009.1.1_successfulreaching10.57,11,-0.4282451364399844,281,complex,1.5151695908012703,1.101,0.4502732810702141,4.83,0.9450000000000001,1.226464734542347,-0.3911336750915064,-0.031717700988887834,infants,NA,NA
brandone_2009.1.1_successfulreaching10.37,9,0.10436001532424288,283.1,complex,1.862904318530611,1.6265625,0.5216392911531287,4.22,0.5400000000000005,1.2137172030483963,-0.39044967514580287,-0.041904781245101,infants,NA,NA
brandone_2009.1.1_successfulreaching10.54,8,0.06106025676124638,307.1,complex,2.70305823272896,1.8902040816326529,0.7175353670497808,7.569999999999999,0.20000000000000018,NA,-0.39209060873659496,-0.04367582042722212,infants,NA,NA
brandone_2009.1.1_successfulreaching10.52,11,-0.11613964991265346,283.1,complex,2.5901703075709563,2.0956,0.6452840826036264,7.130000000000001,0.29000000000000004,2.1247100722613004,-0.37870331774978316,-0.04614206229580994,infants,NA,NA
brandone_2009.1.1_successfulreaching10.46,9,1.4609052249110652,283.1,complex,4.976671112012814,4.026875,1.0000846243683121,11,0.2599999999999998,3.3448878779207787,-0.37319017327201426,-0.05497856304402152,infants,NA,NA
brandone_2009.1.1_successfulreaching10.33,11,-1.1249908546044185,277,complex,2.7820895424522596,2.016,0.5412625568973267,9.33,1.725,2.4392771352738483,-0.372752886326569,-0.026309992402582208,infants,NA,NA
brandone_2009.1.1_successfulreaching10.74,11,-0.009876623495912007,308.4,complex,2.806033182665918,2.464,0.5304410553243701,7.8500000000000005,1.805,NA,-0.3592298495171833,-0.04807194426430871,infants,NA,NA
brandone_2009.1.1_successfulreaching10.43,11,-0.16117273230097817,281.3,complex,3.889975721146741,2.864,0.7243902646455757,10.34,1.4300000000000002,2.882280642264135,-0.3531174595449012,-0.05701826521145391,infants,NA,NA
brandone_2009.1.1_successfulreaching10.30,8,1.3449851376111166,281,complex,4.224673557408509,3.4600000000000004,0.7372903241550626,9.18,0.3999999999999999,3.099390656734506,-0.3646083164471612,-0.058090652696899864,infants,NA,NA
brandone_2009.1.1_successfulreaching10.44,11,-1.2455104959812795,279.7,complex,4.157678839609107,3.6932,0.546775228775527,10.080000000000002,2.4700000000000006,3.1295034016394836,-0.32069917279325405,-0.016953952412342058,infants,NA,NA
brandone_2009.1.1_successfulreaching10.75,7,-0.1165338162559516,308.1,complex,4.53843475220257,3.7466666666666666,0.5431998506526116,10.6,2.4399999999999995,NA,-0.33437174973612904,-0.07952163904109169,infants,NA,NA
brandone_2009.1.1_successfulreaching10.22,11,-0.1370562464679581,280,complex,2.899997892719541,2.0347999999999997,0.33599790206459745,10.5,1.46,1.884565409559228,-0.3064048135051987,-0.040243458343762493,infants,NA,NA
brandone_2009.1.1_successfulreaching10.32,11,0.1372978754199996,275.8,complex,2.9041969630174878,2.0616,0.31214498742664315,8.9,1.2399999999999993,2.238194392049527,-0.2854814815002392,-0.05731951918601322,infants,NA,NA
brandone_2009.1.1_successfulreaching10.38,8,-0.13657553500575081,279.7,complex,4.590630727491646,3.936734693877551,0.4626319477748563,11.67,1.3499999999999996,2.7361469390552364,-0.30116421438868457,-0.09447849745082745,infants,NA,NA
brandone_2009.1.1_successfulreaching10.34,11,-0.1222062432674691,308.4,complex,4.359573883356543,3.6376,0.4119801439573373,13.62,2.7,3.592598761732023,-0.24452769135573077,-0.04012955913544105,infants,NA,NA
brandone_2009.1.1_successfulreaching10.31,11,0.39348891706144884,307.4,complex,3.8684882203660784,2.9669999999999996,0.36143961696403615,13.399999999999999,2.26,NA,-0.24752565690926215,-0.07879236402509224,infants,NA,NA
brandone_2009.1.1_successfulreaching10.39,11,-1.2476109735859402,304.4,complex,2.2125754224432668,1.7442,0.18281214760334352,6.220000000000001,1.3200000000000003,1.713328336239512,-0.22131432244583854,-0.05132942104784635,infants,NA,NA
brandone_2009.1.1_successfulreaching10.26,11,-0.23911239114069982,252.3,complex,4.6054117924218,3.564,0.3763206236657788,14.420000000000002,3.04,2.670216306340783,-0.20827878482136425,-0.0019672082797161095,infants,NA,NA
brandone_2009.1.1_successfulreaching10.55,11,-0.5396045883160339,306.2,complex,2.5487783566075555,2.0519999999999996,0.19465238709390217,8.600000000000001,1.9399999999999995,1.6719589207763523,-0.20625182352319535,-0.031357821999105584,infants,NA,NA
brandone_2009.1.1_successfulreaching10.53,11,-0.21052814868413572,307.1,complex,4.666391539508874,3.6988,0.32228686646238514,15.970000000000002,2.1549999999999994,3.4089617833863066,-0.16821830047282177,-0.01933144200289741,infants,NA,NA
brandone_2009.1.1_successfulreaching10.61,11,-0.3003748992501998,309.9,complex,4.362188543482375,3.6880000000000006,0.2697704726952613,12.59,3.8899999999999997,3.9070571492362474,-0.14372393541320644,0.0025944380086113245,infants,NA,NA
brandone_2009.1.1_successfulreaching10.40,11,-0.7372237007823625,279.1,complex,6.102450873761022,5.0436,0.36393433168899225,19.07,4.79,NA,-0.1334324015195989,0.003595917638852447,infants,NA,NA
brandone_2009.1.1_successfulreaching10.42,11,-0.777843443975347,309.3,complex,6.853904321220456,4.7152,0.40806765427604524,23.879999999999995,3.4350000000000005,5.381457395932079,-0.1401475444840221,-0.004490595318549659,infants,NA,NA
brandone_2009.1.1_successfulreaching12.49,8,-0.03711766295650254,371.1,complex,1.9974900917568192,1.3428571428571427,0.5312473648289413,5.72,0.6800000000000002,0.8188574140589263,-0.3911683670312967,-0.04313467831911997,infants,NA,NA
